|Ministério da Educação|
|Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira|
Taxas de Rendimento Escolar, Abandono||


Ano|Código da Escola|Taxa de Abandono no Ensino Médio (%)
2015|25094033|7,7
2016|25094033|21,4
2017|25094033|12,7
2018|25094033|13,3
2019|25094033|1,9
2020|25094033|0
2021|25094033|0
2018|25094041|2,7
2019|25094041|3,3
2020|25094041|0
2021|25094041|0
2014|25094050|-
2015|25094050|9,6
2016|25094050|12,1
2017|25094050|20,9
2018|25094050|12,2
2019|25094050|14,2
2020|25094050|6,1
2021|25094050|0
2014|25094076|-
2015|25094076|20,7
2014|25094106|-
2015|25094106|18,1
2016|25094106|15,5
2017|25094106|19,7
2018|25094106|12,6
2019|25094106|6,2
2020|25094106|0
2021|25094106|0
2014|25094114|-
2015|25094114|27,2
2016|25094114|36,6
2017|25094114|6,9
2018|25094114|7,3
2019|25094114|4,3
2020|25094114|3
2021|25094114|0
2014|25094122|-
2015|25094122|0
2016|25094122|0,3
2017|25094122|1
2018|25094122|0
2019|25094122|0,4
2020|25094122|0
2021|25094122|0
2014|25094130|-
2015|25094130|16,2
2016|25094130|16,3
2017|25094130|15,7
2018|25094130|29,2
2019|25094130|20
2020|25094130|15,1
2021|25094130|17,3
2014|25094157|-
2015|25094157|18,7
2016|25094157|13,5
2017|25094157|13,6
2018|25094157|13,5
2019|25094157|9,1
2021|25094173|0
2014|25094181|-
2015|25094181|26,4
2016|25094181|19,3
2017|25094181|22,6
2018|25094181|9,1
2019|25094181|4,9
2020|25094181|0
2021|25094181|0,2
2014|25094190|-
2015|25094190|8,4
2016|25094190|12,5
2017|25094190|6,9
2018|25094190|10
2019|25094190|1,8
2020|25094190|7,1
2021|25094190|13,1
2014|25094203|-
2015|25094203|50,6
2016|25094203|45,2
2017|25094203|29,5
2018|25094203|25,8
2019|25094203|15,1
2020|25094203|8,1
2021|25094203|6,6
2014|25094211|-
2015|25094211|0,2
2016|25094211|16,2
2017|25094211|22,1
2018|25094211|22,4
2019|25094211|3,6
2020|25094211|2,8
2021|25094211|0,2
2014|25094262|-
2015|25094262|3,1
2016|25094262|8,1
2017|25094262|6,6
2018|25094262|9,6
2019|25094262|8,8
2020|25094262|8,7
2021|25094262|17,7
2021|25094408|0
2014|25094432|-
2015|25094432|29,5
2016|25094432|9,9
2017|25094432|5,3
2018|25094432|5,4
2019|25094432|7,5
2020|25094432|2,3
2021|25094432|0
2018|25094440|9,2
2019|25094440|11,4
2020|25094440|0
2021|25094440|0
2016|25094459|27,6
2017|25094459|13
2018|25094459|11,5
2019|25094459|10,9
2020|25094459|0
2021|25094459|0
2018|25094629|23,6
2019|25094629|23,9
2020|25094629|25,6
2021|25094629|38,1
2014|25094637|-
2015|25094637|27,1
2016|25094637|28,3
2017|25094637|15,7
2018|25094637|14,8
2019|25094637|13,2
2020|25094637|1,4
2021|25094637|0,8
2014|25094653|-
2015|25094653|19,1
2016|25094653|22,1
2017|25094653|22,4
2018|25094653|22,4
2019|25094653|14,6
2020|25094653|11,3
2021|25094653|19,8
2014|25094661|-
2015|25094661|14,2
2016|25094661|16,9
2017|25094661|16,2
2018|25094661|33,2
2019|25094661|16,5
2020|25094661|4,1
2021|25094661|12,4
2014|25094688|-
2015|25094688|18,7
2016|25094688|33,3
2017|25094688|5,5
2018|25094688|10,6
2019|25094688|10,3
2020|25094688|2,8
2021|25094688|0
2014|25094696|-
2015|25094696|50
2016|25094696|53
2017|25094696|35,7
2018|25094696|30,9
2019|25094696|21,9
2020|25094696|0
2021|25094696|0
2014|25094726|-
2015|25094726|8,2
2016|25094726|13,5
2017|25094726|12,8
2018|25094726|8,3
2019|25094726|6,9
2020|25094726|9,1
2021|25094726|6,9
2014|25094742|-
2015|25094742|15,7
2016|25094742|31,6
2017|25094742|12,2
2018|25094742|17,2
2019|25094742|17,1
2020|25094742|0
2021|25094742|1,1
2014|25094750|-
2015|25094750|8,1
2016|25094750|12
2017|25094750|4,9
2018|25094750|10,8
2019|25094750|17,7
2020|25094750|0
2021|25094750|5,5
2014|25094777|-
2015|25094777|17,3
2016|25094777|20,9
2017|25094777|13,1
2018|25094777|10,8
2019|25094777|11
2020|25094777|6,7
2021|25094777|11,8
2019|25094793|4,5
2020|25094793|0
2021|25094793|0,8
2016|25095013|11,7
2017|25095013|15,8
2018|25095013|18,4
2019|25095013|10,4
2020|25095013|3,7
2021|25095013|0
2021|25095021|0
2014|25095048|-
2015|25095048|14,3
2016|25095048|23,4
2017|25095048|19,5
2014|25095056|-
2015|25095056|12,8
2016|25095056|18
2017|25095056|25,1
2018|25095056|19,7
2019|25095056|11,1
2020|25095056|5,1
2021|25095056|12,5
2014|25095080|-
2015|25095080|16,6
2016|25095080|13,4
2017|25095080|19,1
2018|25095080|14,9
2019|25095080|8,1
2020|25095080|0
2021|25095080|0
2014|25096702|-
2015|25096702|16,2
2016|25096702|18,7
2017|25096702|15,9
2018|25096702|7,3
2019|25096702|7,5
2020|25096702|0,4
2021|25096702|1
2014|25096850|-
2015|25096850|2,1
2016|25096850|0,3
2017|25096850|4,7
2018|25096850|3,7
2019|25096850|2,5
2020|25096850|2,8
2021|25096850|2,8
2014|25097091|-
2015|25097091|30,2
2016|25097091|16,4
2017|25097091|7,6
2018|25097091|14,9
2019|25097091|21,3
2020|25097091|0
2021|25097091|1,4
2014|25097725|-
2015|25097725|17,4
2016|25097725|10
2017|25097725|7,5
2018|25097725|6,3
2019|25097725|5,4
2020|25097725|0
2021|25097725|0
2014|25098357|-
2015|25098357|8,5
2016|25098357|9,3
2017|25098357|5,1
2018|25098357|4,2
2019|25098357|0
2020|25098357|0
2021|25098357|0,2
2014|25098632|-
2015|25098632|31,5
2016|25098632|26,8
2017|25098632|25,9
2018|25098632|28,3
2019|25098632|11,6
2020|25098632|15,9
2021|25098632|11,5
2014|25099116|-
2015|25099116|24,7
2016|25099116|17,2
2017|25099116|27,2
2018|25099116|13,8
2019|25099116|1,6
2020|25099116|0
2021|25099116|0
2014|25099124|-
2015|25099124|34,9
2016|25099124|33,7
2017|25099124|35,7
2018|25099124|26,8
2019|25099124|7,2
2020|25099124|5,8
2021|25099124|3
2014|25099159|-
2015|25099159|35,2
2016|25099159|31
2017|25099159|24,5
2018|25099159|8,9
2019|25099159|0,2
2020|25099159|6,8
2021|25099159|4
2014|25099175|-
2015|25099175|21,1
2016|25099175|26
2017|25099175|26,1
2018|25099175|21,7
2019|25099175|16,6
2020|25099175|0
2021|25099175|12
2014|25099256|-
2015|25099256|15,1
2016|25099256|16,7
2017|25099256|20,9
2018|25099256|16
2019|25099256|7
2020|25099256|0,3
2021|25099256|0
2014|25099299|-
2015|25099299|14,1
2016|25099299|14,7
2017|25099299|16,3
2018|25099299|13
2019|25099299|6
2020|25099299|6,4
2021|25099299|5,3
2014|25099507|-
2015|25099507|16,8
2016|25099507|18,9
2017|25099507|29
2018|25099507|15,4
2019|25099507|0,7
2020|25099507|0,2
2021|25099507|10,5
2014|25099957|-
2015|25099957|26,9
2016|25099957|35,5
2017|25099957|30,8
2018|25099957|9,3
2019|25099957|10,1
2020|25099957|0
2021|25099957|0
2014|25100033|-
2015|25100033|4,8
2016|25100033|7,7
2017|25100033|16
2018|25100033|13,6
2019|25100033|10,8
2020|25100033|0
2021|25100033|16
2020|25100041|0
2021|25100041|0
2018|25100459|17,6
2019|25100459|20
2020|25100459|0
2021|25100459|0
2014|25100696|-
2015|25100696|17,8
2016|25100696|21,8
2017|25100696|16,6
2018|25100696|3,3
2019|25100696|0
2020|25100696|0
2021|25100696|0
2014|25101072|-
2015|25101072|19,1
2016|25101072|21,1
2017|25101072|15,7
2018|25101072|17,1
2019|25101072|14,9
2020|25101072|11,5
2021|25101072|12,6
2014|25101099|-
2015|25101099|17,9
2016|25101099|9,9
2017|25101099|1,6
2018|25101099|4,3
2019|25101099|2,6
2020|25101099|0
2021|25101099|0
2014|25101978|-
2015|25101978|2,6
2016|25101978|14,3
2017|25101978|0
2018|25101978|10,4
2019|25101978|6,9
2020|25101978|0
2021|25101978|16,1
2014|25102519|-
2015|25102519|14,3
2016|25102519|17,4
2017|25102519|10,8
2018|25102519|18,2
2019|25102519|8,3
2020|25102519|0,4
2021|25102519|0
2014|25103563|-
2015|25103563|17,4
2016|25103563|15,7
2017|25103563|11,6
2018|25103563|3,3
2019|25103563|7,3
2020|25103563|3,8
2021|25103563|9,1
2014|25110780|-
2015|25110780|19,3
2016|25110780|19,6
2017|25110780|22,1
2018|25110780|19,5
2019|25110780|17,6
2020|25110780|14,8
2021|25110780|5,9
2014|25111361|-
2015|25111361|51,4
2016|25111361|13,3
2017|25111361|25,1
2018|25111361|45,9
2019|25111361|42,3
2020|25111361|0
2021|25111361|0
2020|25111841|0
2021|25111841|0
2019|25113810|0,6
2020|25113810|1,3
2021|25113810|1,3
2018|25114433|18,2
2019|25114433|6
2020|25114433|0
2021|25114433|0
2014|25114484|-
2015|25114484|11,2
2016|25114484|13,3
2017|25114484|6,2
2018|25114484|6,9
2019|25114484|1,1
2020|25114484|2,1
2021|25114484|1,5
2014|25114506|-
2015|25114506|7,8
2016|25114506|11,7
2017|25114506|19,9
2018|25114506|0,9
2019|25114506|1,8
2020|25114506|5,2
2021|25114506|0,8
2014|25114808|-
2015|25114808|1,3
2016|25114808|4,3
2017|25114808|1,3
2018|25114808|0
2019|25114808|0
2020|25114808|0
2021|25114808|0
2019|25114905|6,9
2020|25114905|0,8
2021|25114905|1,1
2014|25115049|-
2015|25115049|0
2016|25115049|11,3
2017|25115049|5,9
2018|25115049|11,9
2019|25115049|6,1
2020|25115049|0
2021|25115049|0
2021|25115219|0,8
2014|25115359|-
2015|25115359|14,5
2016|25115359|12,5
2017|25115359|13,4
2018|25115359|9,7
2019|25115359|0,4
2020|25115359|4,3
2021|25115359|7,7
2018|25115618|8,7
2019|25115618|4,5
2020|25115618|0
2021|25115618|0
2015|25115723|12,7
2016|25115723|15,1
2017|25115723|13,1
2018|25115723|7,9
2019|25115723|6,9
2020|25115723|0
2021|25115723|10,1
2014|25116037|-
2014|25116762|-
2015|25116762|29,7
2016|25116762|41
2017|25116762|20,9
2018|25116762|1,8
2019|25116762|0
2020|25116762|0
2021|25116762|0
2014|25117459|-
2015|25117459|25,8
2016|25117459|36,1
2017|25117459|24,5
2018|25117459|13,7
2019|25117459|6,5
2020|25117459|0
2021|25117459|0
2014|25117521|-
2015|25117521|9,9
2016|25117521|16,8
2017|25117521|17,7
2018|25117521|17,4
2019|25117521|7,2
2020|25117521|0
2021|25117521|0
2018|25117688|0
2019|25117688|0
2020|25117688|0
2021|25117688|0
2014|25117700|-
2015|25117700|27,7
2016|25117700|50
2017|25117700|30,4
2018|25117700|14,5
2019|25117700|12,1
2020|25117700|0
2021|25117700|0,2
2017|25117858|21,7
2018|25117858|31,3
2019|25117858|14,3
2020|25117858|0
2021|25117858|1,4
2018|25117866|12,1
2019|25117866|2,3
2020|25117866|0
2021|25117866|0
2018|25118358|5,9
2019|25118358|11,2
2020|25118358|0
2021|25118358|0,9
2018|25118560|12,5
2019|25118560|0
2020|25118560|0
2021|25118560|0
2014|25118579|-
2015|25118579|23,6
2016|25118579|18,7
2017|25118579|12,9
2018|25118579|12,2
2019|25118579|12,8
2020|25118579|0,4
2021|25118579|2,9
2014|25118994|-
2015|25118994|33,3
2014|25120670|-
2015|25120670|18,3
2016|25120670|11,5
2017|25120670|14,9
2018|25120670|26
2019|25120670|25,5
2020|25120670|0
2021|25120670|23,6
2014|25120751|-
2015|25120751|7,3
2016|25120751|10,2
2017|25120751|8,6
2018|25120751|2,3
2019|25120751|3,9
2020|25120751|0
2021|25120751|0,6
2014|25120760|-
2015|25120760|13
2016|25120760|15,7
2017|25120760|11,7
2018|25120760|13,7
2019|25120760|14,1
2020|25120760|4,2
2021|25120760|4,7
2014|25120778|-
2015|25120778|10,7
2016|25120778|7,5
2017|25120778|3,5
2018|25120778|4,7
2019|25120778|6,5
2020|25120778|3
2021|25120778|1,7
2019|25120859|2,3
2020|25120859|0
2021|25120859|0
2014|25122401|-
2015|25122401|4,7
2016|25122401|12,7
2017|25122401|8,8
2018|25122401|7,5
2019|25122401|8
2020|25122401|5,1
2021|25122401|3,9
2017|25122533|7,5
2018|25122533|8,9
2019|25122533|8,9
2014|25122908|-
2015|25122908|23,6
2016|25122908|35,1
2017|25122908|25,1
2018|25122908|15,5
2019|25122908|10,5
2020|25122908|20,1
2021|25122908|7,3
2014|25123181|-
2014|25123203|-
2015|25123203|10,4
2016|25123203|8,7
2017|25123203|9,8
2018|25123203|11,9
2019|25123203|5,9
2020|25123203|0
2021|25123203|1,7
2014|25123297|-
2015|25123297|5,5
2016|25123297|12,4
2017|25123297|6,5
2018|25123297|3
2019|25123297|4,5
2020|25123297|0
2021|25123297|0
2014|25123696|-
2015|25123696|63,2
2016|25123696|62,4
2017|25123696|42,9
2018|25123696|21,8
2019|25123696|23,5
2020|25123696|0
2021|25123696|39,6
2014|25123998|-
2015|25123998|3,6
2016|25123998|6,4
2017|25123998|2,1
2018|25123998|3,1
2019|25123998|2,7
2020|25123998|0
2021|25123998|1,4
2014|25124277|-
2015|25124277|17
2016|25124277|11,3
2017|25124277|17,2
2018|25124277|6,3
2019|25124277|3,5
2020|25124277|10,2
2021|25124277|1
2014|25125923|-
2015|25125923|1,6
2017|25125923|4,5
2018|25125923|0
2019|25125923|0
2020|25125923|0
2021|25125923|2,2
2014|25126180|-
2015|25126180|23,5
2016|25126180|18,7
2017|25126180|19,2
2018|25126180|6,4
2019|25126180|5,8
2020|25126180|0
2021|25126180|1,2
2014|25126415|-
2015|25126415|7,7
2016|25126415|18,3
2017|25126415|13,8
2018|25126415|17,8
2019|25126415|6,8
2020|25126415|0
2021|25126415|0,2
2015|25127594|15,3
2016|25127594|4,6
2017|25127594|0,3
2018|25127594|0,2
2019|25127594|0
2020|25127594|0,3
2021|25127594|0
2015|25127659|23,9
2016|25127659|16,5
2017|25127659|10,7
2018|25127659|14
2019|25127659|4,8
2020|25127659|0
2021|25127659|0
2015|25127977|6
2016|25127977|1,3
2017|25127977|0,5
2018|25127977|0,2
2019|25127977|1,1
2020|25127977|0
2021|25127977|2,4
2016|25128337|0
2017|25128337|0
2018|25128337|0
2019|25128337|0
2020|25128337|0,6
2021|25128337|0
2018|25128370|2,9
2019|25128370|0
2020|25128370|7,4
2021|25128370|0,9
2016|25128388|4
2017|25128388|0
2018|25128388|0
2019|25128388|0
2020|25128388|0
2021|25128388|0,3
2016|25128418|2,5
2017|25128418|3,7
2018|25128418|1,6
2019|25128418|3,5
2020|25128418|0
2021|25128418|0,3
2016|25128590|0
2017|25128590|3,6
2018|25128590|1,6
2019|25128590|0,4
2020|25128590|2,4
2021|25128590|3,5
2016|25128604|9,2
2017|25128604|2,4
2018|25128604|0
2019|25128604|0,8
2021|25128604|0
2016|25128612|0
2017|25128612|0
2018|25128612|0
2019|25128612|0
2021|25128612|1,3
2016|25128620|1,2
2017|25128620|11,1
2018|25128620|3
2019|25128620|0,4
2020|25128620|3,5
2021|25128620|0
2014|25128809|-
2015|25128809|41,2
2016|25128809|32,2
2017|25128809|3,7
2018|25128809|31,1
2019|25128809|23,7
2020|25128809|3,3
2021|25128809|18,1
2017|25129279|0
2018|25129279|0
2019|25129279|2,5
2020|25129279|0,3
2021|25129279|0
2017|25129287|0
2018|25129287|0
2019|25129287|0
2020|25129287|0,2
2021|25129287|0,3
2017|25129295|1,8
2018|25129295|0,4
2019|25129295|0
2020|25129295|0
2021|25129295|0
2018|25130110|2,4
2019|25130110|0
2020|25130110|2
2021|25130110|0
2018|25130153|0
2019|25130153|0,5
2020|25130153|0,3
2021|25130153|0
2018|25130161|9,4
2019|25130161|2
2020|25130161|0
2021|25130161|0
2018|25130242|7,7
2019|25130242|7,8
2020|25130242|0,4
2021|25130242|0,7
2018|25130269|15
2019|25130269|1,8
2020|25130269|0,7
2021|25130269|2,6
2018|25130331|1
2019|25130331|1,4
2020|25130331|0
2021|25130331|0
2019|25130552|0
2020|25130552|2,5
2021|25130552|0,9
2015|25137409|3,7
2016|25137409|0
2017|25137409|0,3
2018|25137409|0,5
2019|25137409|0,1
2021|25137409|0,3
2014|25146009|-
2015|25146009|18,1
2016|25146009|0
2014|25151401|-
2015|25151401|6,9
2016|25151401|18,9
2017|25151401|11,4
2018|25151401|11,3
2019|25151401|4,7
2020|25151401|5
2021|25151401|0
2014|25152815|-
2015|25152815|11,2
2016|25152815|14,2
2017|25152815|12,7
2018|25152815|5,8
2019|25152815|9,5
2020|25152815|0
2021|25152815|0
2014|25152823|-
2015|25152823|9,8
2016|25152823|4,9
2017|25152823|12,6
2018|25152823|7,5
2019|25152823|0
2020|25152823|0
2021|25152823|0
2014|25153200|-
2015|25153200|15,8
2016|25153200|33,3
2017|25153200|28,9
2018|25153200|17,1
2019|25153200|22,7
2020|25153200|0
2021|25153200|0
2018|25251945|17,7
2019|25251945|24
2020|25251945|0
2021|25251945|4,1
2014|25281925|-
2015|25281925|0,6
2016|25281925|0
2017|25281925|4
2018|25281925|0,9
2019|25281925|0,2
2020|25281925|0,8
2021|25281925|0,2
2014|25282921|-
2015|25282921|5,7
2016|25282921|0
2017|25282921|0
2018|25282921|0,8
2019|25282921|0
2020|25282921|0,3
2021|25282921|1,8
2014|25282930|-
2015|25282930|6,3
2016|25282930|0
2017|25282930|0
2018|25282930|0
2019|25282930|0
2020|25282930|0,4
2021|25282930|0
2014|25283928|-
2015|25283928|5,8
2016|25283928|1
2017|25283928|14,6
2018|25283928|2,5
2019|25283928|0,8
2020|25283928|0,2
2021|25283928|0,2
2014|25284940|-
2015|25284940|0
2016|25284940|0,4
2017|25284940|2,1
2018|25284940|1,4
2019|25284940|0
2020|25284940|0
2021|25284940|0,3
