|Ministério da Educação|
|Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira|
Taxas de Rendimento Escolar, Abandono||


Ano|Código da Escola|Taxa de Abandono no Ensino Médio (%)
2020|25019228|0
2021|25019228|4,2
2014|25019538|-
2015|25019538|5,6
2016|25019538|12,5
2017|25019538|9,7
2018|25019538|14,1
2019|25019538|0
2020|25019538|0
2021|25019538|0
2014|25019597|-
2015|25019597|1,9
2016|25019597|9,4
2017|25019597|1,1
2018|25019597|1
2019|25019597|6
2020|25019597|0
2021|25019597|0
2014|25019740|-
2015|25019740|9,4
2016|25019740|4,8
2017|25019740|4,4
2018|25019740|3,1
2019|25019740|3,2
2020|25019740|0
2021|25019740|0
2014|25019813|-
2015|25019813|5,2
2016|25019813|4,4
2017|25019813|0,8
2018|25019813|1,8
2019|25019813|0
2020|25019813|0
2021|25019813|0
2014|25020102|-
2015|25020102|13,1
2016|25020102|3,7
2017|25020102|3,2
2018|25020102|2,9
2019|25020102|0
2020|25020102|5,3
2021|25020102|4,2
2014|25020366|-
2015|25020366|7,7
2016|25020366|4,4
2017|25020366|0
2018|25020366|1,4
2019|25020366|1,4
2020|25020366|0
2021|25020366|0
2014|25020374|-
2015|25020374|10,8
2016|25020374|12,6
2017|25020374|3,2
2018|25020374|0
2019|25020374|4,3
2020|25020374|0
2021|25020374|0
2016|25020650|14,5
2017|25020650|8,1
2018|25020650|16,8
2019|25020650|0
2020|25020650|9,3
2014|25020854|-
2015|25020854|11,7
2016|25020854|2,8
2017|25020854|7,9
2018|25020854|0
2019|25020854|0
2020|25020854|0
2021|25020854|0
2014|25020889|-
2015|25020889|6,7
2016|25020889|7,5
2017|25020889|0
2018|25020889|1,6
2019|25020889|1,4
2020|25020889|0
2021|25020889|0
2014|25020900|-
2015|25020900|2,3
2016|25020900|4,2
2017|25020900|12,5
2018|25020900|1,5
2019|25020900|0
2020|25020900|1
2021|25020900|4,3
2014|25020927|-
2015|25020927|8,2
2016|25020927|6,3
2017|25020927|11,7
2018|25020927|6
2019|25020927|1,2
2020|25020927|0,4
2021|25020927|0,5
2014|25020935|-
2015|25020935|5,4
2016|25020935|3,6
2017|25020935|0,4
2018|25020935|0
2019|25020935|0,2
2020|25020935|1,2
2021|25020935|1
2016|25020960|7,4
2017|25020960|7
2018|25020960|4,3
2019|25020960|2,8
2020|25020960|2,4
2021|25020960|10,8
2016|25020986|0
2017|25020986|4
2018|25020986|6,3
2019|25020986|7,8
2020|25020986|0,2
2021|25020986|0,9
2014|25021427|-
2015|25021427|29,2
2016|25021427|40,5
2017|25021427|30,8
2018|25021427|49,2
2019|25021427|7,4
2020|25021427|11,3
2021|25021427|24,6
2014|25022059|-
2015|25022059|26,3
2016|25022059|31,2
2017|25022059|9,9
2018|25022059|12,5
2019|25022059|0
2020|25022059|0
2021|25022059|3,3
2014|25022296|-
2015|25022296|5,3
2016|25022296|3,8
2017|25022296|4,9
2018|25022296|3,6
2019|25022296|2,9
2020|25022296|2,6
2021|25022296|3,2
2014|25022652|-
2015|25022652|3,2
2016|25022652|7,9
2017|25022652|3,5
2018|25022652|4,5
2019|25022652|0,7
2020|25022652|0
2021|25022652|0
2014|25023187|-
2015|25023187|8,1
2016|25023187|6,3
2017|25023187|3,8
2018|25023187|11,3
2019|25023187|3,8
2020|25023187|1,7
2021|25023187|2,1
2014|25023489|-
2015|25023489|2,8
2016|25023489|6,4
2017|25023489|6,1
2018|25023489|9,4
2019|25023489|16
2020|25023489|3,8
2021|25023489|1,3
2014|25023535|-
2015|25023535|0
2014|25023896|-
2015|25023896|9,7
2016|25023896|19,2
2017|25023896|3,5
2018|25023896|9,4
2019|25023896|5,3
2020|25023896|4,3
2021|25023896|4,3
2014|25024175|-
2015|25024175|18,9
2016|25024175|9,8
2017|25024175|1,7
2018|25024175|6,3
2019|25024175|1,5
2020|25024175|1,3
2021|25024175|0,7
2014|25024558|-
2015|25024558|4,9
2016|25024558|6,4
2017|25024558|9,2
2018|25024558|10
2019|25024558|8,9
2020|25024558|0
2021|25024558|0,2
2014|25025368|-
2015|25025368|13,2
2016|25025368|3,2
2017|25025368|3,4
2018|25025368|0,8
2019|25025368|3,1
2020|25025368|0
2021|25025368|3
2014|25025635|-
2015|25025635|0,6
2016|25025635|3,4
2017|25025635|0
2018|25025635|0
2019|25025635|0
2020|25025635|0,7
2021|25025635|0
2014|25025830|-
2015|25025830|11,4
2016|25025830|7
2017|25025830|5
2018|25025830|3,7
2019|25025830|3,8
2020|25025830|1
2021|25025830|2,4
2014|25026259|-
2015|25026259|22,6
2016|25026259|4,1
2014|25027026|-
2015|25027026|16,4
2016|25027026|25
2017|25027026|29,9
2018|25027026|15,5
2019|25027026|4,6
2020|25027026|0,9
2021|25027026|4,6
2014|25027174|-
2015|25027174|15,8
2016|25027174|14,8
2017|25027174|21
2018|25027174|1,6
2019|25027174|7,2
2020|25027190|2,4
2021|25027190|0
2014|25027557|-
2015|25027557|7,7
2016|25027557|11,4
2017|25027573|11,5
2018|25027573|6,3
2019|25027573|12
2020|25027573|0
2021|25027573|0
2014|25027930|-
2015|25027930|23,1
2016|25027930|29,2
2017|25027930|12,4
2018|25027930|24,7
2019|25027930|8,3
2020|25027930|4,9
2021|25027930|6,2
2020|25028065|0,6
2021|25028065|5,2
2014|25028103|-
2015|25028103|3,7
2016|25028103|13,7
2017|25028103|8,6
2018|25028103|6,4
2019|25028103|4,5
2020|25028103|0
2021|25028103|6,2
2014|25029576|-
2015|25029576|11,5
2016|25029576|11,4
2017|25029576|7,1
2018|25029576|14,5
2019|25029576|0
2020|25029576|3
2021|25029576|0
2014|25029789|-
2015|25029789|16,8
2016|25029789|16,3
2017|25029789|9,8
2018|25029789|5,2
2019|25029789|9
2020|25029789|8,4
2021|25029789|4,6
2014|25030116|-
2015|25030116|14,6
2016|25030116|7,9
2017|25030116|11,5
2018|25030116|21,4
2019|25030116|5
2020|25030116|1,3
2021|25030116|2,4
2014|25030566|-
2015|25030566|7,5
2016|25030566|14,7
2017|25030566|11,2
2018|25030566|7,1
2019|25030566|5,1
2020|25030566|23
2021|25030566|19,6
2014|25031155|-
2015|25031155|19,7
2016|25031155|17,3
2017|25031155|15,5
2018|25031155|6,8
2014|25031481|-
2015|25031481|13,7
2016|25031481|13,1
2017|25031481|13,1
2018|25031481|6,4
2019|25031481|4,7
2020|25031481|0
2021|25031481|3,7
2014|25031783|-
2015|25031783|4,8
2016|25031783|9,3
2017|25031783|1,9
2018|25031783|5,4
2019|25031783|6,5
2020|25031783|3,7
2021|25031783|0
2014|25032518|-
2015|25032518|15,4
2016|25032518|4,3
2017|25032518|8,2
2018|25032518|10,4
2019|25032518|8,7
2020|25032518|0
2021|25032518|0,3
2014|25032968|-
2015|25032968|5,8
2016|25032968|11,4
2017|25032968|5,1
2018|25032968|7,5
2019|25032968|5,6
2020|25032968|9,2
2021|25032968|0
2014|25033204|-
2015|25033204|7,4
2016|25033204|11,8
2017|25033204|3
2018|25033204|10
2019|25033204|10,3
2020|25033204|0
2021|25033204|0
2014|25033786|-
2015|25033786|8,2
2016|25033786|6
2017|25033786|9,5
2018|25033786|11,5
2019|25033786|1,6
2020|25033786|1
2021|25033786|0
2014|25033794|-
2015|25033794|5,9
2016|25033794|19,3
2017|25033794|3,6
2018|25033794|9,1
2019|25033794|9,2
2020|25033794|0,4
2021|25033794|0,4
2014|25034200|-
2015|25034200|6,7
2016|25034200|8,6
2017|25034200|9,1
2018|25034200|6,6
2019|25034200|4,8
2020|25034200|1,6
2021|25034200|0
2014|25034219|-
2015|25034219|14,5
2016|25034219|22
2017|25034219|6,9
2018|25034219|10,4
2019|25034219|6,3
2020|25034219|0
2021|25034219|0
2014|25034839|-
2015|25034839|5,2
2016|25034839|7,7
2017|25034839|8,7
2018|25034839|0,6
2019|25034839|0
2020|25034839|0,5
2021|25034839|0
2014|25036017|-
2015|25036017|19,6
2016|25036017|15,3
2017|25036017|10,4
2018|25036017|1,1
2019|25036017|4,4
2020|25036017|0
2021|25036017|0
2014|25036300|-
2017|25036300|22,2
2018|25036300|37,8
2019|25036300|19,3
2020|25036300|0
2021|25036300|0,4
2014|25036335|-
2015|25036335|16,2
2016|25036335|21,1
2017|25036335|5,6
2018|25036335|2,1
2019|25036335|8,3
2020|25036335|5,8
2021|25036335|7,8
2014|25037137|-
2015|25037137|18,6
2016|25037137|20,9
2017|25037137|10,7
2018|25037137|1,1
2019|25037137|0
2020|25037137|11,7
2021|25037137|0
2014|25037226|-
2015|25037226|14
2016|25037226|17,1
2017|25037226|8,9
2018|25037226|6
2019|25037226|5,4
2020|25037226|0
2021|25037226|0
2014|25037234|-
2015|25037234|11,6
2016|25037234|5,2
2017|25037234|3,9
2018|25037234|4,9
2019|25037234|2,9
2020|25037234|1,4
2021|25037234|7,1
2014|25037781|-
2015|25037781|20,2
2016|25037781|21,4
2017|25037781|9,2
2018|25037781|8,4
2019|25037781|10,5
2020|25037781|11,8
2021|25037781|16,9
2014|25037803|-
2015|25037803|19,1
2016|25037803|10,1
2017|25037803|7,8
2018|25037803|8,9
2019|25037803|7,2
2020|25037803|4,1
2021|25037803|2,3
2014|25038460|-
2015|25038460|8,7
2016|25038460|10,4
2014|25038478|-
2015|25038478|10,5
2016|25038478|13,3
2017|25038478|2,7
2018|25038478|0
2019|25038478|5,7
2020|25038478|1,9
2021|25038478|0
2014|25038796|-
2015|25038796|1,4
2016|25038796|7,6
2017|25038796|5,9
2018|25038796|6,6
2019|25038796|4,2
2020|25038796|2,5
2021|25038796|6,2
2014|25039032|-
2015|25039032|12,2
2016|25039032|10
2017|25039032|14,9
2018|25039032|7,6
2019|25039032|2,5
2020|25039032|0
2021|25039032|0,5
2014|25039504|-
2015|25039504|14,5
2016|25039504|16,3
2017|25039504|4,9
2018|25039504|3,7
2019|25039504|8,9
2020|25039504|13
2021|25039504|4,5
2014|25039997|-
2015|25039997|3,5
2016|25039997|1
2017|25040014|0,5
2018|25040014|0
2019|25040014|0
2020|25040014|0
2021|25040014|0
2014|25040600|-
2015|25040600|18,4
2016|25040600|6,7
2017|25040600|5,6
2018|25040600|16
2019|25040600|0
2020|25040600|0
2021|25040600|2,2
2014|25040820|-
2015|25040820|10,5
2016|25040820|9,3
2017|25040820|5,1
2018|25040820|10,9
2019|25040820|5,6
2020|25040820|0
2021|25040820|0
2014|25041185|-
2015|25041185|5,8
2016|25041185|4,4
2017|25041185|2,3
2018|25041185|0
2019|25041185|3,3
2020|25041185|3,3
2021|25041185|4,7
2014|25041525|-
2015|25041525|11
2016|25041525|6,9
2017|25041525|9
2018|25041525|0,4
2019|25041525|0
2020|25041525|0,4
2021|25041525|1,9
2014|25042351|-
2015|25042351|0
2016|25042351|0,8
2017|25042351|0
2018|25042351|0
2019|25042351|0
2020|25042351|0
2021|25042351|0
2014|25042661|-
2015|25042661|14,8
2016|25042661|8,1
2017|25042661|3,7
2018|25042661|1,4
2019|25042661|2,3
2020|25042661|0
2021|25042661|0
2014|25043269|-
2015|25043269|8,6
2016|25043269|8
2017|25043269|11,5
2018|25043269|9,1
2019|25043269|3,3
2020|25043269|5,8
2021|25043269|2,9
2014|25043277|-
2015|25043277|6,2
2016|25043277|6,1
2017|25043277|1,8
2018|25043277|1,8
2019|25043277|0,8
2020|25043277|0
2021|25043277|0,4
2014|25043897|-
2015|25043897|8,7
2016|25043897|8,2
2017|25043897|7,2
2018|25043897|10,3
2019|25043897|7,8
2020|25043897|0,5
2021|25043897|0
2014|25044362|-
2015|25044362|6,5
2016|25044362|14,4
2017|25044362|7,6
2018|25044362|8,3
2019|25044362|0,7
2020|25044362|0
2021|25044362|0
2014|25044788|-
2015|25044788|11,8
2016|25044788|13,4
2017|25044788|11,7
2018|25044788|10,4
2019|25044788|9,6
2020|25044788|0
2021|25044788|0
2014|25045059|-
2015|25045059|19,4
2016|25045059|14,9
2017|25045059|17,2
2018|25045059|13,1
2019|25045059|9,3
2020|25045059|1,6
2021|25045059|1,1
2014|25045377|-
2015|25045377|13,4
2016|25045377|16
2017|25045377|13,1
2018|25045377|2,5
2019|25045377|0
2020|25045377|0
2021|25045377|0
2014|25045466|-
2015|25045466|3,6
2016|25045466|9,1
2017|25045466|9,2
2018|25045466|13,4
2019|25045466|0
2020|25045466|0
2021|25045466|3,7
2018|25045555|16
2019|25045555|13,6
2020|25045555|0
